SITE CODE= ê√â™ê¥êÖãÊêÁçŒí¨
LAT=  35.0168
LON= 138.4848
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 08 40
NS, EW, UD
   -0.003,    0.003,   -0.002
   -0.002,    0.004,   -0.001
    0.002,    0.004,    0.002
    0.005,    0.002,    0.003
    0.004,    0.001,    0.002
    0.000,    0.001,    0.000
    0.000,    0.001,    0.002
    0.002,    0.001,    0.003
    0.005,    0.000,    0.004
    0.005,    0.000,    0.002
    0.001,    0.000,    0.000
   -0.002,   -0.001,    0.002
   -0.002,   -0.002,    0.004
   -0.001,   -0.001,    0.004
    0.000,    0.003,    0.002
    0.001,    0.005,    0.000
    0.002,    0.005,    0.002
    0.004,    0.001,    0.004
    0.004,   -0.002,    0.004
    0.002,   -0.001,   -0.000
    0.000,    0.002,   -0.005
    0.000,    0.003,   -0.005
    0.002,    0.002,   -0.002
    0.005,   -0.001,    0.002
    0.007,   -0.001,    0.003
    0.005,    0.001,    0.002
    0.001,    0.004,    0.001
   -0.001,    0.004,    0.001
   -0.001,    0.001,    0.002
    0.002,   -0.002,    0.001
    0.004,   -0.001,    0.000
    0.004,    0.002,   -0.001
    0.001,    0.005,   -0.000
    0.000,    0.004,    0.000
    0.002,    0.001,    0.002
    0.005,   -0.001,    0.002
    0.004,   -0.002,    0.000
    0.000,   -0.001,   -0.002
   -0.004,   -0.001,   -0.003
   -0.004,   -0.001,   -0.002
    0.001,    0.000,   -0.000
    0.007,    0.003,    0.002
    0.008,    0.004,    0.004
    0.005,    0.001,    0.004
    0.001,   -0.003,    0.003
   -0.002,   -0.005,    0.000
   -0.003,   -0.003,   -0.003
   -0.003,   -0.000,   -0.005
   -0.001,    0.001,   -0.002
    0.002,    0.000,    0.004
    0.005,    0.001,    0.008
    0.005,    0.003,    0.007
    0.002,    0.004,    0.000
   -0.003,    0.003,   -0.006
   -0.005,    0.000,   -0.006
   -0.002,   -0.002,   -0.002
    0.003,    0.001,    0.002
    0.007,    0.005,    0.003
    0.005,    0.007,   -0.000
    0.002,    0.003,   -0.003
   -0.001,   -0.002,   -0.002
   -0.001,   -0.004,    0.001
    0.000,   -0.003,    0.002
   -0.001,   -0.000,   -0.001
   -0.002,   -0.000,   -0.004
   -0.002,   -0.001,   -0.003
    0.000,   -0.001,    0.001
    0.004,    0.001,    0.004
    0.005,    0.003,    0.003
    0.002,    0.003,   -0.001
   -0.001,   -0.000,   -0.003
   -0.001,   -0.002,   -0.002
    0.002,   -0.002,    0.001
    0.004,    0.001,    0.002
    0.004,    0.004,   -0.001
    0.004,    0.005,   -0.003
    0.004,    0.005,   -0.003
    0.005,    0.004,   -0.002
    0.006,    0.001,    0.000
    0.004,   -0.000,    0.001
    0.000,   -0.002,    0.000
   -0.003,   -0.001,   -0.001
   -0.002,    0.001,   -0.003
    0.000,    0.003,   -0.005
    0.003,    0.003,   -0.005
    0.004,    0.000,   -0.001
    0.003,   -0.004,    0.004
    0.001,   -0.005,    0.005
    0.000,   -0.005,    0.003
   -0.001,   -0.002,   -0.000
    0.000,   -0.000,   -0.001
    0.002,   -0.000,    0.003
    0.004,   -0.001,    0.006
    0.005,   -0.000,    0.006
    0.004,    0.001,    0.002
    0.000,   -0.000,   -0.003
   -0.003,   -0.004,   -0.003
   -0.002,   -0.008,   -0.001
    0.000,   -0.007,    0.001
    0.004,   -0.002,    0.000
    0.005,    0.004,   -0.003
    0.004,    0.004,   -0.005
    0.001,    0.001,   -0.004
    0.000,   -0.004,   -0.001
    0.001,   -0.004,    0.000
    0.001,    0.000,   -0.000
   -0.001,    0.003,   -0.002
   -0.003,    0.003,   -0.002
   -0.003,    0.002,    0.000
    0.000,    0.002,    0.004
    0.003,    0.005,    0.005
    0.003,    0.007,    0.004
    0.000,    0.005,    0.001
   -0.001,   -0.002,   -0.001
   -0.002,   -0.008,   -0.002
    0.000,   -0.007,   -0.003
    0.003,   -0.001,   -0.003
    0.005,    0.004,   -0.002
    0.007,    0.003,    0.001
    0.007,   -0.002,    0.004
    0.006,   -0.004,    0.006
    0.004,   -0.002,    0.005
    0.001,    0.001,    0.002
    0.000,   -0.000,    0.000
    0.002,   -0.004,    0.002
    0.004,   -0.004,    0.004
    0.007,    0.001,    0.006
    0.008,    0.006,    0.005
    0.007,    0.007,    0.004
    0.005,    0.004,    0.002
    0.002,    0.000,    0.000
    0.000,    0.000,   -0.003
   -0.002,    0.004,   -0.006
   -0.002,    0.004,   -0.006
    0.001,    0.001,   -0.003
    0.005,   -0.002,    0.001
    0.008,   -0.002,    0.003
    0.005,    0.002,    0.002
   -0.001,    0.004,   -0.001
   -0.006,    0.003,   -0.002
   -0.006,   -0.002,   -0.000
   -0.001,   -0.004,    0.002
    0.004,   -0.002,    0.002
    0.005,    0.001,   -0.000
    0.002,    0.004,   -0.003
    0.000,    0.003,   -0.002
    0.001,    0.001,    0.000
    0.003,    0.001,    0.002
    0.002,    0.003,    0.000
   -0.002,    0.003,   -0.003
   -0.004,    0.001,   -0.005
   -0.003,   -0.000,   -0.003
    0.004,    0.000,    0.000
    0.008,    0.002,    0.003
    0.007,    0.004,    0.004
    0.003,    0.003,    0.002
   -0.001,    0.001,    0.000
   -0.003,   -0.002,   -0.002
   -0.002,   -0.004,   -0.003
    0.000,   -0.005,   -0.003
    0.002,   -0.005,   -0.000
    0.002,   -0.004,    0.002
    0.002,   -0.002,    0.004
    0.003,    0.001,    0.002
    0.004,    0.003,    0.000
    0.004,    0.003,    0.002
    0.002,    0.003,    0.004
    0.000,    0.003,    0.004
   -0.001,    0.004,    0.000
    0.000,    0.004,   -0.004
    0.003,    0.003,   -0.005
    0.005,    0.001,   -0.003
    0.006,   -0.002,    0.002
    0.004,   -0.004,    0.004
    0.002,   -0.003,    0.002
   -0.001,   -0.002,   -0.002
   -0.003,   -0.002,   -0.005
   -0.003,   -0.002,   -0.005
    0.000,   -0.003,   -0.003
    0.004,   -0.003,   -0.002
    0.007,   -0.002,   -0.000
    0.007,   -0.001,    0.002
    0.004,   -0.001,    0.004
    0.000,    0.000,    0.004
   -0.003,    0.002,    0.004
   -0.001,    0.004,    0.002
    0.000,    0.003,   -0.001
    0.002,   -0.000,   -0.002
    0.002,   -0.004,   -0.002
    0.002,   -0.003,   -0.002
    0.002,    0.001,   -0.001
    0.002,    0.004,    0.002
    0.000,    0.003,    0.003
   -0.003,    0.001,    0.001
   -0.005,    0.001,   -0.003
   -0.005,    0.002,   -0.005
   -0.001,    0.002,   -0.001
    0.003,   -0.001,    0.006
    0.005,   -0.004,    0.011
    0.004,   -0.004,    0.008
    0.002,    0.000,    0.002
    0.000,    0.003,   -0.001
   -0.001,    0.003,    0.002
    0.000,    0.001,    0.005
    0.002,    0.001,    0.004
    0.005,    0.005,   -0.000
    0.007,    0.008,   -0.003
    0.007,    0.005,    0.000
    0.005,    0.000,    0.007
    0.002,   -0.004,    0.009
    0.001,   -0.002,    0.004
    0.001,    0.002,   -0.003
    0.001,    0.004,   -0.005
    0.001,    0.001,   -0.000
    0.002,   -0.004,    0.006
    0.005,   -0.004,    0.008
    0.008,   -0.001,    0.005
    0.009,    0.003,    0.002
    0.006,    0.003,    0.003
    0.001,   -0.000,    0.005
   -0.003,   -0.003,    0.005
   -0.004,   -0.002,    0.000
   -0.002,    0.001,   -0.005
    0.000,    0.003,   -0.007
    0.002,    0.001,   -0.005
    0.003,   -0.002,   -0.002
    0.003,   -0.003,   -0.000
    0.002,   -0.001,   -0.001
    0.000,    0.001,   -0.001
   -0.003,    0.003,    0.000
   -0.005,    0.002,    0.002
   -0.005,    0.002,    0.002
   -0.001,    0.003,    0.002
    0.003,    0.003,    0.002
    0.005,    0.001,    0.004
    0.004,   -0.002,    0.005
    0.000,   -0.004,    0.004
   -0.003,   -0.003,    0.001
   -0.005,   -0.001,   -0.002
   -0.004,    0.001,   -0.002
   -0.001,    0.000,   -0.000
    0.001,   -0.000,    0.001
    0.002,   -0.000,    0.001
    0.002,    0.001,    0.000
    0.001,    0.002,    0.000
   -0.001,    0.001,    0.000
   -0.003,   -0.002,    0.000
   -0.003,   -0.004,   -0.000
   -0.003,   -0.002,   -0.000
   -0.001,    0.001,    0.000
    0.000,    0.003,    0.001
    0.002,    0.004,    0.002
    0.004,    0.003,    0.002
    0.005,    0.001,    0.002
    0.003,    0.001,    0.000
   -0.001,    0.001,   -0.003
   -0.004,   -0.001,   -0.005
   -0.004,   -0.004,   -0.005
   -0.002,   -0.004,   -0.002
    0.001,   -0.001,    0.000
    0.002,    0.004,   -0.001
    0.000,    0.005,   -0.004
   -0.001,    0.002,   -0.005
   -0.001,   -0.004,   -0.003
   -0.001,   -0.007,    0.001
   -0.002,   -0.005,    0.002
   -0.005,    0.000,    0.000
   -0.007,    0.004,   -0.003
   -0.005,    0.005,   -0.005
    0.000,    0.004,   -0.004
    0.005,    0.004,   -0.002
    0.005,    0.004,    0.000
    0.001,    0.003,    0.002
   -0.005,   -0.003,    0.003
   -0.007,   -0.009,    0.000
   -0.004,   -0.007,   -0.003
    0.001,    0.001,   -0.006
    0.006,    0.007,   -0.005
    0.008,    0.007,    0.000
    0.007,    0.001,    0.004
    0.004,   -0.004,    0.001
   -0.001,   -0.004,   -0.006
   -0.006,    0.001,   -0.011
   -0.009,    0.002,   -0.008
   -0.005,   -0.001,   -0.000
    0.001,   -0.004,    0.006
    0.007,   -0.000,    0.006
    0.007,    0.005,    0.002
    0.002,    0.007,   -0.003
   -0.003,    0.003,   -0.002
   -0.003,   -0.004,    0.003
    0.000,   -0.005,    0.006
    0.003,   -0.002,    0.005
    0.002,    0.004,    0.000
   -0.001,    0.005,   -0.003
    0.000,    0.003,   -0.003
    0.004,    0.001,   -0.001
    0.006,   -0.000,    0.002
    0.005,    0.001,    0.002
    0.000,    0.001,   -0.000
   -0.004,   -0.000,   -0.003
   -0.003,   -0.002,   -0.003
    0.001,   -0.004,   -0.001
    0.004,   -0.003,    0.002
    0.005,    0.001,    0.003
    0.004,    0.004,    0.002
    0.003,    0.003,    0.002
    0.002,   -0.002,    0.002
    0.000,   -0.008,    0.001
   -0.002,   -0.007,   -0.001
   -0.002,   -0.001,   -0.002
    0.000,    0.004,   -0.000
    0.002,    0.004,    0.001
    0.003,    0.000,   -0.000
    0.001,   -0.002,   -0.003
   -0.001,    0.002,   -0.006
   -0.003,    0.006,   -0.005
   -0.003,    0.006,   -0.001
   -0.001,    0.002,    0.002
    0.002,   -0.000,   -0.000
    0.001,    0.001,   -0.006
   -0.002,    0.003,   -0.009
   -0.004,    0.003,   -0.005
   -0.004,   -0.002,    0.003
   -0.001,   -0.003,    0.007
    0.002,    0.001,    0.007
    0.003,    0.006,    0.004
    0.002,    0.006,    0.004
    0.002,    0.001,    0.006
    0.004,   -0.003,    0.006
    0.006,   -0.002,    0.002
    0.005,    0.002,   -0.003
    0.001,    0.003,   -0.005
   -0.002,    0.000,   -0.000
   -0.001,   -0.002,    0.005
    0.004,   -0.001,    0.005
    0.006,    0.003,   -0.000
    0.004,    0.004,   -0.005
    0.000,    0.001,   -0.007
   -0.003,   -0.004,   -0.006
   -0.003,   -0.005,   -0.004
   -0.001,   -0.003,   -0.003
    0.000,    0.001,   -0.002
    0.001,    0.003,    0.000
    0.002,    0.003,    0.003
    0.003,    0.001,    0.004
    0.004,   -0.000,    0.002
    0.001,   -0.001,   -0.002
   -0.003,   -0.001,   -0.004
   -0.005,   -0.000,   -0.003
   -0.004,    0.000,    0.001
   -0.001,    0.000,    0.005
    0.003,    0.001,    0.006
    0.005,    0.003,    0.004
    0.004,    0.004,   -0.002
    0.001,    0.003,   -0.003
   -0.002,   -0.002,   -0.003
   -0.004,   -0.008,   -0.002
   -0.004,   -0.010,   -0.002
   -0.003,   -0.005,   -0.002
    0.000,    0.002,   -0.001
    0.002,    0.005,    0.002
    0.002,    0.005,    0.004
    0.001,    0.003,    0.001
   -0.001,    0.001,   -0.003
   -0.003,    0.002,   -0.005
   -0.003,    0.001,   -0.003
   -0.001,    0.000,    0.001
    0.002,    0.000,    0.004
    0.005,    0.003,    0.002
    0.004,    0.005,   -0.001
    0.002,    0.005,   -0.002
    0.000,    0.003,   -0.001
   -0.001,    0.000,   -0.002
   -0.001,   -0.002,   -0.005
   -0.001,   -0.002,   -0.005
    0.001,   -0.003,   -0.002
    0.003,   -0.002,    0.004
    0.005,    0.001,    0.007
    0.006,    0.003,    0.006
    0.005,    0.003,    0.002
    0.002,   -0.001,   -0.002
   -0.002,   -0.005,   -0.003
   -0.004,   -0.007,   -0.003
   -0.003,   -0.004,   -0.000
    0.000,    0.001,    0.000
    0.003,    0.005,    0.001
    0.005,    0.007,    0.001
    0.005,    0.004,    0.002
    0.003,    0.001,    0.001
   -0.001,   -0.002,   -0.000
   -0.004,   -0.003,   -0.004
   -0.007,   -0.001,   -0.007
   -0.005,    0.000,   -0.007
    0.000,   -0.001,   -0.003
    0.007,   -0.002,    0.005
    0.009,   -0.001,    0.011
    0.005,    0.001,    0.012
   -0.003,    0.001,    0.006
   -0.010,   -0.002,   -0.002
   -0.011,   -0.005,   -0.007
   -0.005,   -0.004,   -0.006
    0.004,    0.001,   -0.000
    0.009,    0.004,    0.007
    0.009,    0.004,    0.010
    0.004,    0.001,    0.006
   -0.001,    0.001,   -0.003
   -0.005,    0.002,   -0.009
   -0.006,    0.003,   -0.009
   -0.005,    0.000,   -0.002
   -0.002,   -0.003,    0.005
    0.002,   -0.002,    0.007
    0.006,    0.003,    0.005
    0.007,    0.007,    0.002
    0.004,    0.004,    0.004
    0.002,   -0.003,    0.006
    0.000,   -0.007,    0.005
    0.000,   -0.005,    0.001
    0.000,    0.001,   -0.003
   -0.002,    0.004,   -0.004
   -0.001,    0.002,    0.000
    0.002,   -0.001,    0.005
    0.005,   -0.002,    0.005
    0.004,   -0.002,    0.003
   -0.003,   -0.001,    0.000
   -0.008,   -0.002,   -0.002
   -0.009,   -0.001,   -0.002
   -0.003,    0.003,   -0.003
    0.004,    0.007,   -0.003
    0.007,    0.007,   -0.002
    0.005,    0.003,    0.000
    0.002,   -0.004,    0.002
    0.000,   -0.007,    0.003
   -0.002,   -0.005,    0.002
   -0.003,   -0.002,   -0.002
   -0.004,    0.000,   -0.004
   -0.002,    0.001,   -0.003
    0.003,    0.000,    0.000
    0.007,   -0.001,    0.004
    0.007,   -0.002,    0.006
    0.002,   -0.002,    0.004
   -0.003,   -0.002,    0.000
   -0.005,    0.001,   -0.001
   -0.004,    0.004,   -0.000
    0.000,    0.005,    0.001
    0.002,    0.005,    0.001
    0.002,    0.003,   -0.000
    0.002,   -0.000,   -0.001
    0.001,   -0.002,   -0.002
    0.000,   -0.002,   -0.002
   -0.001,   -0.001,   -0.003
   -0.001,   -0.000,   -0.002
    0.000,    0.001,    0.001
    0.002,    0.003,    0.004
    0.005,    0.004,    0.003
    0.005,    0.005,   -0.001
    0.004,    0.003,   -0.004
    0.003,   -0.001,   -0.002
    0.003,   -0.005,    0.004
    0.002,   -0.006,    0.006
    0.000,   -0.004,    0.002
   -0.003,    0.001,   -0.006
   -0.004,    0.004,   -0.009
   -0.003,    0.005,   -0.006
    0.002,    0.004,    0.001
    0.005,    0.001,    0.005
    0.005,   -0.001,    0.004
    0.001,   -0.002,   -0.000
   -0.004,   -0.001,   -0.004
   -0.006,    0.002,   -0.006
   -0.004,    0.004,   -0.005
    0.000,    0.005,   -0.001
    0.004,    0.003,    0.004
    0.005,    0.000,    0.005
    0.000,   -0.002,    0.003
   -0.004,   -0.001,   -0.002
   -0.004,   -0.001,   -0.003
   -0.001,   -0.002,    0.000
    0.004,   -0.003,    0.003
    0.006,   -0.001,    0.002
    0.005,    0.003,   -0.003
    0.003,    0.004,   -0.006
    0.002,    0.002,   -0.005
    0.000,   -0.004,   -0.000
   -0.003,   -0.007,    0.001
   -0.007,   -0.005,   -0.003
   -0.009,    0.001,   -0.007
   -0.007,    0.004,   -0.006
   -0.001,    0.003,    0.000
    0.004,   -0.001,    0.006
    0.005,   -0.004,    0.007
    0.003,   -0.002,    0.003
    0.000,   -0.001,    0.000
   -0.002,   -0.002,    0.002
   -0.003,   -0.004,    0.004
   -0.003,   -0.003,    0.005
   -0.001,    0.001,    0.003
    0.004,    0.005,    0.002
    0.007,    0.006,    0.004
    0.007,    0.004,    0.006
    0.002,    0.002,    0.005
   -0.004,    0.001,    0.000
   -0.007,    0.003,   -0.005
   -0.005,    0.005,   -0.006
    0.000,    0.005,   -0.003
    0.005,    0.003,    0.002
    0.006,    0.001,    0.005
    0.003,    0.001,    0.003
   -0.001,    0.001,   -0.001
   -0.004,    0.001,   -0.004
   -0.003,    0.000,   -0.003
    0.000,   -0.002,    0.000
    0.002,   -0.002,    0.003
    0.002,   -0.001,    0.002
    0.001,    0.001,   -0.001
    0.000,    0.003,   -0.002
    0.002,    0.003,    0.002
    0.005,    0.003,    0.006
    0.006,    0.001,    0.008
    0.004,    0.000,    0.006
    0.000,   -0.003,    0.002
   -0.002,   -0.005,    0.000
   -0.002,   -0.004,    0.000
    0.000,    0.001,   -0.000
    0.000,    0.005,   -0.002
    0.001,    0.004,   -0.001
    0.000,   -0.001,    0.004
   -0.001,   -0.005,    0.008
   -0.003,   -0.005,    0.007
   -0.004,    0.000,   -0.000
   -0.003,    0.004,   -0.006
    0.001,    0.002,   -0.004
    0.005,   -0.002,    0.004
    0.007,   -0.003,    0.009
    0.004,   -0.000,    0.007
   -0.002,    0.001,    0.001
   -0.005,   -0.000,   -0.005
   -0.006,   -0.004,   -0.006
   -0.003,   -0.004,   -0.006
    0.003,   -0.000,   -0.005
    0.007,    0.003,   -0.003
    0.008,    0.002,    0.002
    0.005,   -0.002,    0.005
   -0.001,   -0.004,    0.003
   -0.006,   -0.002,   -0.004
   -0.008,    0.001,   -0.008
   -0.005,    0.001,   -0.006
    0.000,   -0.002,    0.002
    0.005,   -0.004,    0.005
    0.006,   -0.000,    0.003
    0.004,    0.005,   -0.002
    0.000,    0.007,   -0.003
   -0.001,    0.004,    0.002
    0.000,    0.000,    0.006
    0.002,    0.001,    0.005
    0.002,    0.005,   -0.001
    0.000,    0.007,   -0.006
   -0.001,    0.004,   -0.006
    0.000,   -0.001,   -0.002
    0.002,   -0.004,    0.002
    0.003,   -0.002,    0.002
    0.000,    0.000,    0.002
   -0.003,    0.001,    0.002
   -0.005,   -0.000,    0.002
   -0.004,    0.000,    0.002
   -0.001,    0.003,    0.002
    0.002,    0.005,    0.002
    0.004,    0.005,    0.003
    0.003,    0.003,    0.004
    0.001,    0.001,    0.003
   -0.001,    0.000,   -0.000
   -0.003,    0.000,   -0.003
   -0.003,    0.002,   -0.005
   -0.001,    0.004,   -0.004
    0.002,    0.005,   -0.002
    0.006,    0.002,    0.000
    0.007,   -0.003,    0.002
    0.006,   -0.005,    0.002
    0.001,   -0.004,   -0.000
   -0.003,    0.000,   -0.001
   -0.005,    0.001,   -0.000
   -0.004,   -0.002,   -0.000
   -0.001,   -0.004,   -0.002
    0.001,   -0.002,   -0.005
    0.002,    0.001,   -0.006
    0.000,    0.001,   -0.003
    0.000,   -0.003,   -0.001
    0.001,   -0.005,   -0.000
    0.002,   -0.002,   -0.002
    0.002,    0.004,   -0.002
    0.004,    0.007,    0.003
    0.004,    0.004,    0.007
    0.005,    0.000,    0.007
    0.004,   -0.001,    0.002
    0.000,    0.000,   -0.005
   -0.004,   -0.002,   -0.004
   -0.005,   -0.005,    0.002
   -0.002,   -0.006,    0.007
    0.003,   -0.000,    0.005
    0.006,    0.007,    0.000
    0.005,    0.009,   -0.002
    0.001,    0.004,    0.001
   -0.002,   -0.002,    0.004
   -0.003,   -0.003,    0.003
   -0.001,    0.000,   -0.001
   -0.001,    0.003,   -0.002
   -0.001,    0.003,   -0.000
    0.000,    0.003,    0.004
    0.004,    0.004,    0.005
    0.008,    0.006,    0.004
    0.009,    0.006,    0.003
    0.005,    0.003,    0.004
    0.000,   -0.002,    0.005
   -0.001,   -0.004,    0.004
    0.000,   -0.002,    0.002
    0.004,    0.000,   -0.001
    0.005,    0.002,   -0.000
    0.004,    0.002,    0.002
    0.000,    0.001,    0.003
   -0.001,   -0.001,    0.003
   -0.001,   -0.004,    0.002
   -0.001,   -0.004,    0.002
   -0.001,   -0.002,    0.001
    0.000,    0.002,   -0.000
    0.002,    0.005,   -0.001
    0.004,    0.004,    0.000
    0.005,    0.003,    0.003
    0.004,    0.001,    0.005
    0.001,    0.001,    0.005
   -0.001,    0.001,    0.002
   -0.001,   -0.001,   -0.002
    0.000,   -0.002,   -0.002
    0.003,   -0.002,   -0.002
    0.003,    0.000,   -0.000
    0.001,    0.000,   -0.000
   -0.001,   -0.002,   -0.000
   -0.002,   -0.005,    0.001
   -0.001,   -0.004,    0.003
    0.000,   -0.000,    0.004
    0.002,    0.002,    0.004
    0.003,    0.003,    0.000
    0.002,    0.001,   -0.003
   -0.001,   -0.000,   -0.004
   -0.004,    0.000,   -0.003
   -0.005,    0.000,    0.000
   -0.004,   -0.000,    0.002
   -0.001,   -0.002,    0.004
    0.003,   -0.001,    0.004
    0.005,    0.001,    0.002
    0.004,    0.004,    0.000
    0.002,    0.005,   -0.002
    0.002,    0.003,   -0.002
    0.003,    0.001,   -0.002
    0.002,   -0.001,    0.000
    0.001,    0.001,    0.001
   -0.001,    0.004,    0.000
   -0.001,    0.005,   -0.000
    0.000,    0.004,    0.001
    0.004,    0.001,    0.004
    0.004,   -0.002,    0.004
    0.003,   -0.002,    0.001
    0.000,    0.001,   -0.004
   -0.001,    0.003,   -0.006
    0.000,    0.003,   -0.005
    0.002,    0.003,   -0.002
    0.002,    0.005,   -0.001
    0.000,    0.007,   -0.004
   -0.003,    0.007,   -0.007
   -0.004,    0.003,   -0.007
   -0.003,   -0.002,   -0.004
   -0.001,   -0.004,    0.000
    0.002,   -0.002,    0.002
    0.003,    0.001,    0.002
    0.004,    0.001,    0.002
    0.004,   -0.000,    0.002
    0.003,   -0.001,   -0.000
    0.000,    0.001,   -0.005
   -0.003,    0.003,   -0.007
   -0.003,    0.001,   -0.006
    0.000,   -0.002,   -0.002
    0.004,   -0.004,    0.001
    0.005,   -0.002,   -0.001
    0.003,    0.003,   -0.005
    0.000,    0.005,   -0.008
   -0.001,    0.005,   -0.007
    0.000,    0.002,   -0.004
    0.001,    0.000,   -0.003
    0.002,    0.001,   -0.004
    0.000,    0.004,   -0.005
    0.000,    0.004,   -0.002
    0.001,    0.001,    0.002
    0.003,   -0.001,    0.002
    0.004,   -0.001,   -0.000
    0.003,    0.001,   -0.003
    0.000,    0.002,   -0.003
   -0.001,    0.000,    0.000
   -0.001,   -0.003,    0.003
   -0.001,   -0.002,   -0.000
    0.000,    0.003,   -0.007
    0.002,    0.009,   -0.012
    0.002,    0.009,   -0.012
    0.000,    0.004,   -0.008
    0.000,   -0.001,   -0.006
    0.000,   -0.000,   -0.009
    0.002,    0.004,   -0.014
    0.003,    0.007,   -0.014
    0.003,    0.003,   -0.009
    0.003,   -0.004,   -0.003
    0.003,   -0.006,   -0.001
    0.002,   -0.002,   -0.005
    0.001,    0.002,   -0.009
    0.000,    0.002,   -0.007
    0.000,   -0.002,   -0.003
    0.003,   -0.003,    0.002
    0.005,    0.001,    0.000
    0.005,    0.005,   -0.004
    0.002,    0.005,   -0.007
    0.000,    0.002,   -0.007
   -0.001,   -0.000,   -0.005
    0.001,    0.001,   -0.003
    0.002,    0.005,   -0.003
    0.002,    0.007,   -0.002
    0.001,    0.004,    0.000
    0.002,    0.001,    0.004
    0.003,    0.001,    0.004
    0.002,    0.005,    0.002
    0.000,    0.007,    0.000
   -0.001,    0.004,    0.002
    0.001,    0.001,    0.005
    0.005,    0.002,    0.008
    0.006,    0.006,    0.010
    0.005,    0.009,    0.010
    0.002,    0.009,    0.010
    0.002,    0.004,    0.011
    0.003,    0.001,    0.011
    0.004,    0.000,    0.011
    0.003,    0.003,    0.009
    0.001,    0.005,    0.007
    0.002,    0.005,    0.009
    0.006,    0.005,    0.012
    0.009,    0.005,    0.016
    0.008,    0.005,    0.016
    0.003,    0.005,    0.015
   -0.001,    0.004,    0.014
   -0.002,    0.001,    0.017
    0.000,   -0.003,    0.020
    0.004,   -0.002,    0.021
    0.003,    0.004,    0.019
    0.001,    0.010,    0.017
    0.000,    0.011,    0.019
    0.000,    0.007,    0.023
    0.001,    0.003,    0.023
    0.000,    0.003,    0.019
   -0.003,    0.007,    0.013
   -0.004,    0.007,    0.012
   -0.003,    0.002,    0.017
    0.000,   -0.002,    0.020
    0.002,   -0.001,    0.017
    0.001,    0.005,    0.009
   -0.002,    0.009,    0.005
   -0.004,    0.003,    0.006
   -0.005,   -0.006,    0.007
   -0.005,   -0.010,    0.003
   -0.005,   -0.006,   -0.006
   -0.005,   -0.000,   -0.010
   -0.004,    0.000,   -0.007
   -0.003,   -0.004,   -0.001
   -0.001,   -0.005,   -0.000
   -0.001,   -0.004,   -0.006
   -0.004,   -0.001,   -0.012
   -0.009,   -0.002,   -0.015
   -0.012,   -0.006,   -0.015
   -0.009,   -0.009,   -0.017
