SITE CODE= èüâYésñnñº
LAT=  35.1507
LON= 140.3121
SAMPLING RATE= 100Hz
UNIT  = gal(cm/s/s)
INITIAL TIME= 2021 02 13 23 08 20
NS, EW, UD
    0.003,   -0.005,   -0.001
    0.003,   -0.004,   -0.001
    0.002,   -0.002,    0.001
    0.002,   -0.002,    0.002
    0.003,   -0.002,    0.002
    0.004,   -0.002,    0.000
    0.005,   -0.003,   -0.002
    0.003,   -0.005,   -0.002
   -0.000,   -0.007,   -0.003
   -0.004,   -0.006,   -0.003
   -0.005,   -0.003,   -0.004
   -0.003,    0.000,   -0.004
    0.000,    0.002,   -0.002
    0.001,    0.002,    0.001
   -0.001,    0.002,    0.004
   -0.004,    0.000,    0.005
   -0.003,    0.000,    0.002
    0.000,    0.001,   -0.003
    0.004,    0.003,   -0.005
    0.005,    0.004,   -0.004
    0.005,    0.003,   -0.001
    0.003,   -0.001,    0.002
   -0.000,   -0.004,    0.001
   -0.002,   -0.005,   -0.002
   -0.002,   -0.004,   -0.004
   -0.000,   -0.003,   -0.002
   -0.000,   -0.004,    0.002
   -0.002,   -0.005,    0.005
   -0.003,   -0.004,    0.005
   -0.002,   -0.002,    0.002
    0.002,   -0.001,   -0.001
    0.004,    0.000,   -0.001
    0.004,   -0.001,    0.000
    0.001,   -0.002,    0.000
   -0.000,   -0.001,   -0.001
    0.000,    0.000,   -0.002
    0.001,    0.000,   -0.001
    0.000,    0.000,    0.004
   -0.002,   -0.002,    0.006
   -0.002,   -0.002,    0.005
    0.001,   -0.002,    0.002
    0.003,   -0.001,    0.000
    0.002,   -0.001,    0.000
   -0.001,   -0.002,    0.000
   -0.003,   -0.001,   -0.001
   -0.002,    0.001,   -0.004
    0.001,    0.004,   -0.002
    0.002,    0.004,    0.001
    0.002,    0.002,    0.004
   -0.001,   -0.001,    0.002
   -0.004,   -0.002,   -0.002
   -0.007,   -0.001,   -0.004
   -0.008,    0.000,   -0.001
   -0.007,    0.000,    0.005
   -0.004,   -0.001,    0.007
    0.002,   -0.002,    0.002
    0.007,   -0.002,   -0.002
    0.010,   -0.001,   -0.001
    0.009,    0.000,    0.003
    0.005,    0.001,    0.004
    0.003,    0.002,    0.001
    0.001,    0.002,   -0.003
    0.000,    0.002,   -0.003
   -0.002,    0.002,    0.001
   -0.004,    0.002,    0.004
   -0.006,    0.001,    0.002
   -0.005,   -0.001,   -0.002
   -0.004,   -0.004,   -0.005
   -0.003,   -0.005,   -0.002
   -0.004,   -0.004,    0.002
   -0.004,   -0.001,    0.004
    0.000,    0.002,    0.002
    0.005,    0.004,    0.000
    0.009,    0.003,    0.000
    0.007,    0.002,    0.000
    0.003,    0.002,   -0.001
   -0.000,    0.003,   -0.002
   -0.003,    0.004,   -0.004
   -0.005,    0.004,   -0.003
   -0.007,    0.002,    0.000
   -0.008,   -0.001,    0.004
   -0.004,   -0.002,    0.004
    0.003,   -0.003,    0.001
    0.007,   -0.002,   -0.003
    0.005,    0.000,   -0.004
    0.002,    0.002,   -0.002
    0.000,    0.002,    0.000
    0.002,    0.002,    0.001
    0.004,    0.000,    0.002
    0.004,   -0.002,    0.002
   -0.000,   -0.002,    0.003
   -0.004,   -0.002,    0.002
   -0.005,   -0.001,   -0.002
   -0.004,   -0.001,   -0.005
   -0.002,   -0.001,   -0.005
   -0.003,   -0.001,   -0.002
   -0.003,   -0.001,    0.000
    0.000,    0.000,    0.001
    0.004,    0.001,    0.000
    0.007,    0.002,   -0.001
    0.005,    0.003,   -0.001
    0.001,    0.002,    0.001
   -0.003,    0.000,    0.002
   -0.004,   -0.001,    0.002
   -0.002,   -0.003,   -0.001
    0.001,   -0.004,   -0.004
    0.002,   -0.004,   -0.005
   -0.000,   -0.003,   -0.004
   -0.003,   -0.001,   -0.002
   -0.004,    0.002,    0.000
   -0.002,    0.004,    0.000
    0.002,    0.004,   -0.002
    0.003,    0.005,   -0.002
    0.003,    0.005,   -0.001
    0.002,    0.003,    0.001
   -0.001,    0.000,    0.001
   -0.003,   -0.002,   -0.001
   -0.004,   -0.001,   -0.004
   -0.004,    0.002,   -0.004
   -0.004,    0.002,   -0.002
   -0.002,   -0.001,   -0.001
   -0.001,   -0.004,   -0.001
   -0.002,   -0.005,   -0.001
   -0.002,   -0.003,    0.000
   -0.003,    0.000,    0.004
   -0.002,    0.003,    0.005
    0.000,    0.003,    0.001
    0.003,    0.003,   -0.005
    0.005,    0.002,   -0.007
    0.005,    0.001,   -0.005
    0.002,   -0.002,   -0.001
   -0.002,   -0.004,    0.000
   -0.004,   -0.004,    0.000
   -0.004,   -0.002,    0.000
   -0.000,    0.000,    0.003
    0.002,    0.000,    0.005
    0.002,   -0.002,    0.002
    0.000,   -0.001,   -0.001
   -0.000,    0.002,   -0.003
    0.000,    0.006,   -0.001
    0.002,    0.008,    0.003
    0.003,    0.006,    0.004
    0.003,    0.004,    0.001
    0.002,    0.002,   -0.003
   -0.000,    0.002,   -0.005
   -0.002,    0.002,   -0.004
   -0.003,    0.001,   -0.002
   -0.002,   -0.001,    0.000
   -0.001,   -0.004,    0.001
    0.000,   -0.004,    0.002
    0.001,   -0.003,    0.003
    0.002,   -0.001,    0.004
    0.002,   -0.001,    0.002
    0.002,   -0.001,    0.000
    0.002,   -0.002,   -0.002
    0.002,    0.000,   -0.001
    0.002,    0.003,    0.000
    0.000,    0.005,    0.002
   -0.002,    0.005,    0.002
   -0.005,    0.004,   -0.001
   -0.007,    0.002,   -0.002
   -0.004,    0.001,   -0.002
   -0.002,    0.002,    0.000
   -0.000,    0.001,    0.002
   -0.002,   -0.002,    0.000
   -0.004,   -0.004,   -0.001
   -0.002,   -0.002,   -0.001
    0.003,    0.002,    0.001
    0.007,    0.006,    0.003
    0.009,    0.006,    0.002
    0.007,    0.003,    0.000
    0.004,    0.001,   -0.003
    0.003,    0.001,   -0.004
    0.003,    0.003,   -0.004
    0.002,    0.002,   -0.003
   -0.002,   -0.001,   -0.003
   -0.005,   -0.004,   -0.002
   -0.008,   -0.003,   -0.002
   -0.006,    0.000,   -0.001
   -0.002,    0.004,   -0.001
    0.001,    0.004,   -0.001
    0.002,    0.002,   -0.003
    0.001,    0.001,   -0.003
    0.000,    0.002,   -0.001
    0.000,    0.002,    0.001
    0.000,    0.003,    0.001
   -0.001,    0.002,   -0.003
   -0.003,    0.000,   -0.007
   -0.005,   -0.002,   -0.009
   -0.004,   -0.006,   -0.004
   -0.002,   -0.008,    0.000
   -0.000,   -0.007,    0.003
    0.001,   -0.004,    0.001
    0.002,   -0.002,   -0.001
    0.002,   -0.002,   -0.003
    0.003,   -0.002,   -0.002
    0.003,    0.000,   -0.002
    0.003,    0.004,   -0.002
    0.003,    0.006,   -0.004
    0.003,    0.006,   -0.004
    0.002,    0.004,   -0.003
    0.000,    0.004,    0.000
   -0.001,    0.003,    0.003
   -0.002,    0.000,    0.004
   -0.002,   -0.004,    0.001
   -0.003,   -0.006,   -0.004
   -0.002,   -0.005,   -0.007
   -0.000,   -0.004,   -0.007
    0.002,   -0.002,   -0.003
    0.004,   -0.002,    0.002
    0.003,   -0.001,    0.004
    0.002,    0.001,    0.002
    0.000,    0.004,    0.000
   -0.000,    0.003,   -0.001
    0.000,    0.000,   -0.001
    0.002,   -0.002,   -0.001
    0.002,   -0.002,   -0.001
    0.002,   -0.003,   -0.002
   -0.000,   -0.004,   -0.002
   -0.003,   -0.006,   -0.002
   -0.004,   -0.006,   -0.001
   -0.003,   -0.002,    0.000
    0.000,    0.002,    0.003
    0.003,    0.005,    0.005
    0.004,    0.004,    0.005
    0.003,    0.003,    0.003
   -0.000,    0.001,    0.000
   -0.003,   -0.001,   -0.003
   -0.005,   -0.004,   -0.004
   -0.005,   -0.006,   -0.003
   -0.004,   -0.005,    0.000
    0.000,   -0.001,    0.004
    0.004,    0.003,    0.005
    0.006,    0.005,    0.005
    0.005,    0.004,    0.003
    0.003,    0.002,    0.002
    0.000,    0.002,    0.002
    0.000,    0.004,    0.002
    0.002,    0.005,    0.001
    0.003,    0.005,   -0.001
    0.002,    0.004,   -0.003
   -0.002,    0.001,   -0.001
   -0.006,   -0.002,    0.001
   -0.009,   -0.004,    0.003
   -0.009,   -0.004,    0.002
   -0.007,   -0.002,    0.001
   -0.003,    0.000,    0.001
    0.001,    0.002,    0.001
    0.004,    0.005,    0.000
    0.004,    0.006,   -0.001
    0.003,    0.006,   -0.001
    0.001,    0.003,    0.000
   -0.000,   -0.001,    0.002
   -0.000,   -0.002,    0.002
   -0.000,   -0.001,    0.000
   -0.000,    0.000,    0.000
   -0.002,   -0.001,    0.000
   -0.002,   -0.003,    0.002
   -0.002,   -0.005,    0.000
   -0.001,   -0.004,   -0.001
    0.000,   -0.004,   -0.002
    0.002,   -0.004,   -0.001
    0.003,   -0.006,    0.001
    0.005,   -0.005,    0.002
    0.007,    0.001,    0.003
    0.008,    0.008,    0.002
    0.007,    0.010,    0.000
    0.003,    0.007,   -0.001
   -0.000,    0.002,   -0.002
   -0.003,    0.000,   -0.001
   -0.004,    0.001,    0.002
   -0.004,    0.002,    0.003
   -0.004,    0.002,    0.001
   -0.005,   -0.001,   -0.002
   -0.004,   -0.003,   -0.004
   -0.001,   -0.005,   -0.002
    0.002,   -0.007,    0.000
    0.002,   -0.006,    0.000
    0.002,   -0.002,   -0.001
    0.002,    0.002,   -0.003
    0.003,    0.005,   -0.003
    0.004,    0.005,   -0.002
    0.003,    0.001,   -0.001
   -0.000,   -0.002,   -0.002
   -0.004,   -0.004,   -0.002
   -0.004,   -0.004,   -0.002
   -0.003,   -0.002,   -0.002
   -0.001,   -0.001,   -0.002
   -0.000,   -0.001,   -0.001
   -0.002,   -0.002,   -0.001
   -0.002,   -0.002,    0.000
    0.002,   -0.001,    0.002
    0.005,    0.002,    0.002
    0.007,    0.004,    0.000
    0.005,    0.004,   -0.001
    0.003,    0.004,   -0.002
    0.003,    0.004,   -0.004
    0.003,    0.003,   -0.004
    0.003,    0.001,   -0.002
   -0.001,   -0.001,    0.000
   -0.007,   -0.004,    0.002
   -0.009,   -0.004,    0.003
   -0.006,   -0.002,    0.002
   -0.001,   -0.002,    0.000
    0.003,   -0.002,   -0.001
    0.004,   -0.002,   -0.001
    0.004,   -0.002,   -0.003
    0.003,    0.000,   -0.005
    0.002,    0.000,   -0.006
   -0.000,    0.000,   -0.004
   -0.002,   -0.001,    0.001
   -0.002,    0.000,    0.006
   -0.001,    0.003,    0.005
   -0.001,    0.005,    0.001
   -0.003,    0.004,   -0.004
   -0.004,    0.001,   -0.004
   -0.001,   -0.001,   -0.001
    0.004,   -0.002,    0.003
    0.008,   -0.001,    0.002
    0.007,    0.000,   -0.002
    0.002,    0.000,   -0.005
   -0.002,    0.000,   -0.003
   -0.000,    0.001,    0.003
    0.003,    0.003,    0.007
    0.004,    0.003,    0.006
    0.002,    0.002,    0.002
   -0.003,    0.000,   -0.001
   -0.004,   -0.001,    0.000
   -0.002,   -0.002,    0.002
    0.001,   -0.002,    0.001
    0.003,   -0.001,   -0.002
    0.004,    0.000,   -0.004
    0.004,    0.004,   -0.002
    0.004,    0.005,    0.002
    0.004,    0.004,    0.005
    0.002,    0.002,    0.007
   -0.000,   -0.001,    0.007
   -0.000,   -0.001,    0.006
    0.002,    0.001,    0.004
    0.004,    0.002,    0.000
    0.005,    0.002,   -0.004
    0.003,    0.002,   -0.005
   -0.000,    0.000,   -0.003
   -0.003,   -0.002,    0.000
   -0.004,   -0.005,    0.003
   -0.005,   -0.006,    0.003
   -0.005,   -0.005,    0.001
   -0.003,   -0.002,    0.000
    0.000,    0.002,   -0.001
    0.004,    0.004,   -0.001
    0.005,    0.003,   -0.001
    0.004,    0.002,    0.002
    0.001,    0.000,    0.004
   -0.001,    0.000,    0.004
   -0.002,    0.002,    0.001
   -0.001,    0.004,   -0.002
   -0.000,    0.004,   -0.002
    0.000,    0.003,    0.000
    0.001,    0.001,    0.002
    0.002,   -0.001,    0.001
    0.003,   -0.001,   -0.001
    0.003,    0.001,   -0.001
    0.002,    0.004,    0.002
    0.003,    0.008,    0.005
    0.003,    0.010,    0.005
    0.002,    0.007,   -0.001
   -0.001,    0.002,   -0.005
   -0.004,   -0.004,   -0.005
   -0.004,   -0.007,   -0.002
   -0.002,   -0.005,    0.002
    0.002,   -0.001,    0.003
    0.003,    0.001,    0.002
    0.002,    0.000,    0.001
    0.000,   -0.001,    0.001
   -0.001,   -0.001,    0.000
   -0.001,    0.000,   -0.004
   -0.000,    0.002,   -0.007
    0.002,    0.002,   -0.007
    0.004,    0.000,   -0.004
    0.006,   -0.001,    0.000
    0.005,   -0.001,    0.001
    0.002,    0.000,   -0.001
   -0.002,    0.002,   -0.004
   -0.005,    0.003,   -0.003
   -0.005,    0.004,    0.000
   -0.005,    0.004,    0.003
   -0.003,    0.004,    0.004
   -0.000,    0.003,    0.000
    0.003,    0.002,   -0.003
    0.005,    0.002,   -0.006
    0.006,    0.001,   -0.006
    0.004,    0.000,   -0.004
    0.003,   -0.001,    0.000
    0.002,   -0.002,    0.002
    0.001,   -0.001,    0.002
    0.000,    0.000,   -0.001
    0.000,   -0.001,   -0.004
    0.002,   -0.002,   -0.006
    0.003,   -0.004,   -0.005
    0.004,   -0.005,   -0.003
    0.003,   -0.005,    0.000
    0.002,   -0.002,    0.003
   -0.001,    0.000,    0.003
   -0.005,    0.000,    0.002
   -0.009,   -0.001,   -0.001
   -0.011,   -0.001,   -0.001
   -0.008,    0.000,   -0.001
   -0.002,    0.003,   -0.001
    0.005,    0.005,   -0.001
    0.008,    0.003,   -0.003
    0.006,   -0.001,   -0.004
    0.003,   -0.003,   -0.002
   -0.000,   -0.002,    0.001
   -0.002,    0.002,    0.005
   -0.002,    0.004,    0.005
   -0.002,    0.004,    0.000
   -0.002,    0.002,   -0.005
    0.001,    0.001,   -0.006
    0.003,    0.002,   -0.001
    0.004,    0.000,    0.006
    0.003,   -0.003,    0.007
    0.001,   -0.006,    0.000
   -0.002,   -0.005,   -0.007
   -0.003,   -0.003,   -0.009
   -0.003,   -0.001,   -0.003
   -0.002,   -0.001,    0.004
   -0.001,   -0.002,    0.006
   -0.001,   -0.003,    0.005
   -0.000,   -0.002,    0.003
    0.000,    0.001,    0.001
    0.001,    0.002,   -0.001
    0.000,    0.003,   -0.005
   -0.001,    0.004,   -0.007
   -0.000,    0.002,   -0.005
    0.001,   -0.001,    0.001
    0.001,   -0.004,    0.005
   -0.001,   -0.005,    0.005
   -0.002,   -0.004,    0.003
    0.000,    0.000,    0.001
    0.006,    0.003,    0.001
    0.011,    0.001,    0.001
    0.009,   -0.002,   -0.001
    0.002,   -0.004,   -0.004
   -0.004,   -0.004,   -0.006
   -0.005,   -0.004,   -0.005
   -0.005,   -0.003,   -0.004
   -0.006,   -0.002,   -0.002
   -0.008,   -0.001,    0.000
   -0.006,    0.001,    0.004
   -0.000,    0.000,    0.006
    0.004,   -0.002,    0.004
    0.004,   -0.005,    0.000
    0.001,   -0.004,   -0.004
    0.000,    0.001,   -0.004
    0.004,    0.006,    0.000
    0.008,    0.007,    0.002
    0.007,    0.005,    0.000
    0.002,    0.000,   -0.005
   -0.003,   -0.002,   -0.009
   -0.004,   -0.004,   -0.006
   -0.002,   -0.005,    0.000
   -0.003,   -0.006,    0.005
   -0.005,   -0.005,    0.007
   -0.007,   -0.002,    0.005
   -0.005,    0.000,    0.003
    0.001,    0.002,    0.001
    0.004,    0.002,   -0.001
    0.004,    0.002,   -0.004
    0.002,    0.002,   -0.007
    0.001,    0.002,   -0.005
    0.002,    0.003,   -0.002
    0.004,    0.003,    0.002
    0.004,    0.000,    0.003
    0.002,   -0.004,    0.000
   -0.002,   -0.008,   -0.003
   -0.004,   -0.007,   -0.003
   -0.005,   -0.004,    0.000
   -0.005,   -0.001,    0.002
   -0.005,    0.000,    0.000
   -0.003,   -0.002,   -0.004
    0.001,   -0.004,   -0.005
    0.003,   -0.004,   -0.003
    0.004,   -0.002,    0.000
    0.002,    0.000,    0.000
   -0.001,    0.001,   -0.004
   -0.003,    0.002,   -0.009
   -0.003,    0.001,   -0.007
   -0.002,   -0.001,   -0.001
   -0.002,   -0.002,    0.006
   -0.002,   -0.002,    0.007
   -0.001,    0.001,    0.000
    0.000,    0.004,   -0.005
    0.002,    0.004,   -0.008
    0.002,    0.001,   -0.005
    0.002,   -0.002,   -0.002
    0.003,   -0.001,    0.000
    0.005,    0.003,    0.000
    0.006,    0.006,    0.000
    0.004,    0.005,   -0.001
   -0.002,   -0.001,   -0.002
   -0.007,   -0.006,   -0.002
   -0.007,   -0.009,   -0.004
   -0.002,   -0.010,   -0.005
    0.001,   -0.008,   -0.005
   -0.000,   -0.006,   -0.004
   -0.004,   -0.004,   -0.001
   -0.005,   -0.003,    0.000
   -0.004,   -0.002,    0.001
    0.000,    0.000,    0.000
    0.003,    0.003,   -0.001
    0.004,    0.006,    0.000
    0.005,    0.006,    0.000
    0.006,    0.004,   -0.001
    0.005,    0.001,   -0.004
    0.002,    0.000,   -0.005
   -0.000,    0.000,   -0.003
    0.000,    0.000,    0.001
    0.001,   -0.002,    0.003
    0.000,   -0.005,    0.002
   -0.003,   -0.007,   -0.001
   -0.005,   -0.007,   -0.001
   -0.004,   -0.005,    0.001
    0.000,   -0.003,    0.002
    0.003,   -0.001,    0.002
    0.003,    0.000,    0.000
    0.003,    0.001,   -0.001
    0.003,    0.000,   -0.001
    0.002,   -0.001,   -0.001
    0.000,   -0.003,   -0.001
   -0.004,   -0.003,    0.000
   -0.007,   -0.003,    0.003
   -0.007,   -0.002,    0.005
   -0.002,   -0.002,    0.004
    0.002,   -0.002,   -0.001
    0.004,   -0.003,   -0.004
    0.002,   -0.003,   -0.004
    0.000,   -0.003,    0.000
   -0.000,   -0.001,    0.003
    0.000,    0.002,    0.004
    0.001,    0.005,    0.003
    0.001,    0.005,    0.001
    0.002,    0.004,   -0.001
    0.002,    0.002,   -0.003
    0.003,    0.001,   -0.004
    0.003,    0.001,   -0.001
    0.002,    0.000,    0.005
   -0.000,   -0.002,    0.009
   -0.001,   -0.003,    0.007
   -0.000,   -0.002,    0.002
    0.000,   -0.001,   -0.001
    0.000,   -0.001,   -0.002
    0.000,   -0.002,   -0.002
    0.001,   -0.004,   -0.002
    0.002,   -0.003,   -0.002
    0.002,   -0.001,   -0.001
   -0.000,    0.002,    0.003
   -0.002,    0.003,    0.007
   -0.004,    0.003,    0.006
